FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
1996-12-05;01:58:33;9,41;-73,33;3;3,4;;CESAR;LA_JAGUA_DE_IBIRICO;0; 0.90;0;0;0;0;Revisado
1997-03-20;20:52:59;9,412;-73,404;0;3,7;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.70;333;21,9;90,7;24,4;Revisado
1997-06-09;15:57:09;9,705;-73,45;2,4;3;;CESAR;BECERRIL;4; 0.60;199;5,3;20,8;12,4;Revisado
1997-12-11;18:55:17;9,563;-73,579;4;3;;CESAR;EL_PASO;4; 0.50;186;81,3;48,4;16,2;Revisado
1998-08-12;03:41:48;9,749;-73,302;8;2,8;;CESAR;BECERRIL;3; 0.20;206;25;98;38,7;Revisado
1999-05-09;07:57:10;9,764;-73,544;0;3,5;;CESAR;EL_PASO;8; 0.70;201;7,1;20,1;28,1;Revisado
1999-05-14;03:18:14;9,489;-73,445;4;3,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 1.00;194;27,4;56,8;40,2;Revisado
2001-08-28;17:49:28;9,721;-73,427;0;3,1;;CESAR;BECERRIL;5; 1.40;198;39,4;37,1;89,6;Revisado
2001-09-10;17:01:12;9,608;-73,447;0;2,7;;CESAR;LA_JAGUA_DE_IBIRICO;4; 1.20;196;50,7;39,9;0,3;Revisado
2001-10-22;16:58:57;9,616;-73,413;0;2,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.80;197;50,5;3,5;44,2;Revisado
2001-12-03;16:49:56;9,617;-73,54;0;3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.80;190;99,9;99,9;95,7;Revisado
2001-12-09;18:31:44;9,653;-73,402;0;2,7;;CESAR;LA_JAGUA_DE_IBIRICO;5; 1.40;199;27,9;5,1;95,9;Revisado
2001-12-20;18:27:26;9,621;-73,404;0;2,9;;CESAR;LA_JAGUA_DE_IBIRICO;4; 1.40;198;86,1;48,8;80,3;Revisado
2002-01-08;11:20:22;9,53;-73,377;15,3;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;198;4,9;18,4;15,9;Revisado
2002-03-05;04:41:31;9,621;-73,676;4;2,8;;CESAR;EL_PASO;4; 0.50;179;4,6;10,6;8,8;Revisado
